producer_id,season,reporting_month,state,county,usda_farm_resource_region,usda_region_code,fsa_state_office,fsa_county_office,farm_latitude,farm_longitude,producer_type,farm_size_acres,primary_crop,secondary_crop,insured_acres,irrigated_flag,historical_program_participation_flag,underserved_producer_flag,new_producer_flag,historical_yield_value,historical_yield_unit,three_year_avg_yield,yield_volatility_index,last_season_loss_flag,crop_diversity_score,seasonal_rainfall_inches,rainfall_deviation_pct,avg_temperature_f,heat_stress_days,drought_index,flood_risk_index,storm_exposure_flag,soil_type,soil_ph,soil_moisture_index,soil_organic_matter_pct,erosion_risk_index,land_productivity_index,ndvi,ndvi_missing_flag,ndvi_change,crop_health_index,satellite_stress_flag,pest_pressure_flag,disease_pressure_flag,seed_delivery_delay_days,fertilizer_delivery_delay_days,distance_to_input_depot_miles,extension_visit_count,last_extension_visit_days_ago,planting_delay_days,input_credit_amount_usd,repayment_rate,prior_default_flag,loan_distress_flag,current_balance_usd,days_past_due,financial_stress_index,low_input_flag,delayed_planting_flag,drought_stress_flag,crop_health_stress_flag,repayment_stress_flag,logistics_stress_flag,support_gap_flag,priority_signal_count,yield_risk_score,repayment_risk_score,intervention_urgency_score,yield_risk_band,repayment_risk_band,intervention_urgency_band,intervention_priority_tier,recommended_action,approval_required,explanation_summary,action_rationale
US000001,2024-25,2025-02,IA,Polk,Heartland,R01,IA FSA State Office,Polk County FSA Office,42.2484,-93.5968,individual,276.2,corn,soybeans,128.9,0,1,0,0,140.01,bu/acre,150.23,0.381,0,0.67,38.4,-4.8,67.4,7,0.567,0.319,0,organic,6.13,0.287,1.55,0.237,0.561,0.637,0,0.02,0.639,1,0,0,3,0,19.8,1,41,6,11623.34,,0,0,10624.59,50,0.073,0,0,0,1,1,0,0,2,0.404,0.255,0.283,medium,low,low,routine_monitoring,monitor_only,0,Main drivers: crop health stress; repayment stress.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000002,2024-25,2024-11,IN,Elkhart,Heartland,R01,IN FSA State Office,Elkhart County FSA Office,39.2359,-86.1622,corporation,293.0,corn,soybeans,185.3,0,1,1,0,146.02,bu/acre,157.16,0.347,0,0.61,30.9,-3.4,65.1,6,0.174,0.137,1,silt loam,6.58,0.51,2.49,0.311,0.757,0.536,0,-0.07,0.522,0,1,0,4,7,20.8,1,34,11,17158.78,0.777,0,0,6841.01,27,0.162,0,1,0,1,0,0,0,2,0.541,0.231,0.339,medium,low,low,routine_monitoring,pest_control_visit,0,Main drivers: delayed planting; crop health stress.,Satellite and field-health indicators suggest crop deterioration or pest pressure that needs a field visit.
US000003,2024-25,2025-03,IN,Tippecanoe,Heartland,R01,IN FSA State Office,Tippecanoe County FSA Office,38.5901,-85.7247,cooperative,191.8,corn,hog_feed,122.4,0,1,0,0,159.88,bu/acre,165.21,0.374,0,0.6,28.4,-0.9,71.5,0,0.269,0.271,1,organic,5.56,0.481,3.92,0.21,0.671,0.613,0,0.01,0.651,0,0,0,2,0,32.4,0,53,0,9293.7,0.812,0,0,6876.08,9,0.117,0,0,0,0,0,0,0,0,0.164,0.269,0.179,low,low,low,routine_monitoring,monitor_only,0,Main drivers: no major stress signals detected.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000004,2024-25,2025-03,IA,Story,Heartland,R01,IA FSA State Office,Story County FSA Office,41.9907,-94.6715,family_farm,90.3,corn,hog_feed,64.5,0,0,0,0,171.18,bu/acre,175.96,0.214,0,0.46,24.5,-0.8,69.7,5,0.226,0.167,1,organic,6.19,0.539,3.79,0.087,0.541,0.797,0,0.06,0.789,0,0,0,1,5,20.6,0,68,7,3608.86,0.65,0,0,3783.08,25,0.228,0,0,0,0,0,0,0,0,0.329,0.27,0.241,low,low,low,routine_monitoring,monitor_only,0,Main drivers: no major stress signals detected.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000005,2024-25,2025-03,IA,Polk,Heartland,R01,IA FSA State Office,Polk County FSA Office,42.4068,-94.3616,individual,210.2,corn,,137.5,0,1,0,0,156.32,bu/acre,170.45,0.318,1,0.26,37.2,-21.3,66.4,10,0.691,0.176,0,loam,6.54,0.49,2.49,0.293,0.752,0.6,0,0.03,0.644,0,0,0,8,6,10.1,2,44,15,12125.15,0.703,0,0,6734.92,32,0.21,1,1,1,0,1,1,0,5,0.521,0.513,0.483,medium,medium,medium,active_monitoring,planting_support,1,Main drivers: drought stress; delayed planting; low input access; repayment stress; logistics stress.,Combined drought pressure and delayed planting suggest direct planting support is the most useful intervention.
US000006,2024-25,2025-03,IA,Linn,Heartland,R01,IA FSA State Office,Linn County FSA Office,42.6047,-93.1234,family_farm,1072.1,soybeans,hog_feed,770.9,0,1,0,0,41.75,bu/acre,44.4,0.232,0,0.63,30.5,-18.9,71.1,8,0.499,0.411,0,sandy clay,6.33,0.564,2.69,0.451,0.753,0.685,0,0.05,0.714,0,0,0,5,9,31.5,2,12,11,54256.67,0.834,0,0,49630.87,24,0.135,1,1,1,0,0,1,0,4,0.489,0.432,0.323,medium,medium,low,routine_monitoring,planting_support,1,Main drivers: drought stress; delayed planting; low input access; logistics stress.,Combined drought pressure and delayed planting suggest direct planting support is the most useful intervention.
US000007,2024-25,2025-03,IL,LaSalle,Heartland,R01,IL FSA State Office,LaSalle County FSA Office,40.2854,-88.4051,individual,337.0,soybeans,wheat,236.5,1,1,0,0,53.87,bu/acre,53.24,0.388,0,0.43,33.6,-5.8,66.8,14,0.319,0.127,0,clay,6.78,0.441,2.68,0.286,0.665,0.644,0,-0.0,0.667,0,0,0,3,3,60.2,3,34,5,18037.7,0.725,0,0,11028.15,17,0.178,0,0,0,0,0,0,0,0,0.263,0.195,0.201,low,low,low,routine_monitoring,monitor_only,0,Main drivers: no major stress signals detected.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000008,2024-25,2024-12,OH,Franklin,Heartland,R01,OH FSA State Office,Franklin County FSA Office,41.1827,-82.5165,individual,79.9,corn,,36.3,0,0,1,1,176.91,bu/acre,189.51,0.115,0,0.35,35.0,23.5,75.5,16,0.138,0.142,1,sandy loam,4.7,0.453,2.87,0.058,0.809,0.719,0,0.2,0.641,0,1,0,6,4,13.3,0,78,6,3644.16,0.574,1,0,2732.14,49,0.484,1,0,0,1,1,0,1,4,0.528,0.627,0.599,medium,medium,medium,active_monitoring,pest_control_visit,0,Main drivers: crop health stress; low input access; repayment stress; limited support coverage.,Satellite and field-health indicators suggest crop deterioration or pest pressure that needs a field visit.
US000009,2024-25,2024-11,OH,Darke,Heartland,R01,OH FSA State Office,Darke County FSA Office,40.5197,-82.8759,individual,132.1,corn,hay,63.2,0,1,0,1,181.04,bu/acre,185.9,0.51,0,0.35,31.1,8.6,69.7,5,0.218,0.091,0,loam,6.05,0.628,3.6,0.18,0.664,0.644,0,-0.08,0.695,0,0,0,7,3,21.9,3,46,6,7072.6,0.688,0,0,7046.33,14,0.193,0,0,0,0,0,0,0,0,0.218,0.204,0.095,low,low,low,routine_monitoring,monitor_only,0,Main drivers: no major stress signals detected.,Current signals do not indicate an immediate intervention beyond routine monitoring.
US000010,2024-25,2024-10,MO,Boone,Heartland,R01,MO FSA State Office,Boone County FSA Office,38.8853,-92.0331,corporation,115.1,wheat,,103.6,0,1,0,0,42.06,bu/acre,51.27,0.27,0,0.38,30.0,-27.1,67.7,21,0.747,0.236,0,loam,6.16,0.466,3.6,0.6,0.481,0.283,0,-0.46,0.268,1,1,1,0,9,23.5,1,38,17,6066.76,0.684,0,0,5081.6,23,0.207,1,1,1,1,0,1,0,5,0.666,0.435,0.468,medium,medium,medium,active_monitoring,planting_support,1,Main drivers: drought stress; delayed planting; crop health stress; low input access; logistics stress.,Combined drought pressure and delayed planting suggest direct planting support is the most useful intervention.
